Sample_ID,Country,Observatory_ID,ARMS_ID,Deploy_Date,Collect_Date,gene_COI,gene_18S,gene_ITS,negativeControl_gene_COI,negativeControl_gene_18S,negativeControl_gene_ITS,AccessRights,latitude,longitude,depth,Fraction,Preservative,Filter
ARMS_Getxo_G3_200624_201103_SF40_DMSO,Spain,Getxo,G3,2020-06-24,2020-11-03,ERR7127688,ERR7127687,ERR7127689,ERR7125534,ERR7125533,ERR7125535,CC BY,43.33843,-3.01483,5,Sessile,DMSO,40
ARMS_Koster_VH1_180418_190527_MF100_DMSO,Sweden,Koster,VH1,2018-04-18,2019-05-27,ERR4018467,ERR4018457,ERR4018462,ERR4018471,ERR4018472,ERR4018473,CC BY,58.875155,11.103194,24,Motile,DMSO,100
ARMS_Koster_VH1_180418_190527_MF500_DMSO,Sweden,Koster,VH1,2018-04-18,2019-05-27,ERR4018466,ERR4018456,ERR4018461,ERR4018471,ERR4018472,ERR4018473,CC BY,58.875155,11.103194,24,Motile,DMSO,500
ARMS_Koster_VH1_180418_190527_SF40_DMSO,Sweden,Koster,VH1,2018-04-18,2019-05-27,ERR4018468,ERR4018458,ERR4018463,ERR4018471,ERR4018472,ERR4018473,CC BY,58.875155,11.103194,24,Sessile,DMSO,40
ARMS_Koster_VH1_190527_200716_MF100_DMSO,Sweden,Koster,VH1,2019-05-27,2020-07-16,ERR4914103,ERR4914045,ERR4914161,ERR4914160,ERR4914102,ERR4914218,CC BY,58.875155,11.103194,24,Motile,DMSO,100
ARMS_Koster_VH1_190527_200716_MF500_DMSO,Sweden,Koster,VH1,2019-05-27,2020-07-16,ERR4914104,ERR4914046,ERR4914162,ERR4914160,ERR4914102,ERR4914218,CC BY,58.875155,11.103194,24,Motile,DMSO,500
ARMS_Koster_VH1_190527_200716_SF40_DMSO,Sweden,Koster,VH1,2019-05-27,2020-07-16,ERR4914105,ERR4914047,ERR4914163,ERR4914160,ERR4914102,ERR4914218,CC BY,58.875155,11.103194,24,Sessile,DMSO,40
ARMS_Koster_VH2_180418_180906_MF100_EtOH,Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018452,ERR4605233,ERR4018445,ERR3460471,ERR4605902,ERR4018475,CC BY,58.87633,11.111884,22,Motile,EtOH,100
ARMS_Koster_VH2_180418_180906_MF500_EtOH,Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018453,ERR4605234,ERR4018446,ERR3460471,ERR4605902,ERR4018475,CC BY,58.87633,11.111884,22,Motile,EtOH,500
ARMS_Koster_VH2_180418_180906_PS90_EtOH,Sweden,Koster,VH2,2018-04-18,2018-09-06,failed,ERR4605237,ERR4018449,failed,ERR4605902,ERR4018475,CC BY,58.87633,11.111884,22,Plankton,EtOH,90
ARMS_Koster_VH2_180418_180906_SED100_DMSO,Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018454,ERR4605235,ERR4018447,ERR3460471,ERR4605902,ERR4018475,CC BY,58.87633,11.111884,22,Sediment,DMSO,100
ARMS_Koster_VH2_180418_180906_SED500_DMSO,Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018455,ERR4605236,ERR4018448,ERR3460471,ERR4605902,ERR4018475,CC BY,58.87633,11.111884,22,Sediment,DMSO,500
ARMS_Koster_VH2_180418_180906_SF40_DMSO,Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018451,ERR4605232,ERR4018444,ERR3460471,ERR4605902,ERR4018475,CC BY,58.87633,11.111884,22,Sessile,DMSO,40
ARMS_Koster_VH2_180418_180906_SF40_EtOH,Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018450,ERR4605231,ERR4018443,ERR3460471,ERR4605902,ERR4018475,CC BY,58.87633,11.111884,22,Sessile,EtOH,40
ARMS_Koster_VH2_190527_200716_MF100_DMSO,Sweden,Koster,VH2,2019-05-27,2020-07-16,ERR4914109,ERR4914051,ERR4914167,ERR4914160,ERR4914102,ERR4914218,CC BY,58.87633,11.111884,22,Motile,DMSO,100
ARMS_Koster_VH2_190527_200716_MF500_DMSO,Sweden,Koster,VH2,2019-05-27,2020-07-16,ERR4914110,ERR4914052,ERR4914168,ERR4914160,ERR4914102,ERR4914218,CC BY,58.87633,11.111884,22,Motile,DMSO,500
ARMS_Koster_VH2_190527_200716_SF40_DMSO,Sweden,Koster,VH2,2019-05-27,2020-07-16,ERR4914111,ERR4914053,ERR4914169,ERR4914160,ERR4914102,ERR4914218,CC BY,58.87633,11.111884,22,Sessile,DMSO,40
ARMS_Koster_VH3_180418_190527_MF100_DMSO,Sweden,Koster,VH3,2018-04-18,2019-05-27,ERR4018470,ERR4018460,ERR4018465,ERR4018471,ERR4018472,ERR4018473,CC BY,58.859877,11.080491,25,Motile,DMSO,100
ARMS_Koster_VH3_180418_190527_MF500_DMSO,Sweden,Koster,VH3,2018-04-18,2019-05-27,ERR4018469,ERR4018459,ERR4018464,ERR4018471,ERR4018472,ERR4018473,CC BY,58.859877,11.080491,25,Motile,DMSO,500
ARMS_Koster_VH3_180418_190527_SF40_DMSO,Sweden,Koster,VH3,2018-04-18,2019-05-27,ERR7127610,ERR7127609,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,58.859877,11.080491,25,Sessile,DMSO,40
ARMS_Koster_VH3_190527_200716_MF100_DMSO,Sweden,Koster,VH3,2019-05-27,2020-07-16,ERR4914106,ERR4914048,ERR4914164,ERR4914160,ERR4914102,ERR4914218,CC BY,58.859877,11.080491,25,Motile,DMSO,100
ARMS_Koster_VH3_190527_200716_MF500_DMSO,Sweden,Koster,VH3,2019-05-27,2020-07-16,ERR4914107,ERR4914049,ERR4914165,ERR4914160,ERR4914102,ERR4914218,CC BY,58.859877,11.080491,25,Motile,DMSO,500
ARMS_Koster_VH3_190527_200716_SF40_DMSO,Sweden,Koster,VH3,2019-05-27,2020-07-16,ERR4914108,ERR4914050,ERR4914166,ERR4914160,ERR4914102,ERR4914218,CC BY,58.859877,11.080491,25,Sessile,DMSO,40
ARMS_Limfjord_Green33_190618_191029_MF100_DMSO,Denmark,Limfjord,Green33,2019-06-18,2019-10-29,ERR4018499,ERR4018481,ERR4018490,ERR4018471,ERR4018472,ERR4018473,CC BY,56.901246,9.058189,4,Motile,DMSO,100
ARMS_Limfjord_Green33_190618_191029_MF500_DMSO,Denmark,Limfjord,Green33,2019-06-18,2019-10-29,ERR4018497,ERR4018479,ERR4018488,ERR4018471,ERR4018472,ERR4018473,CC BY,56.901246,9.058189,4,Motile,DMSO,500
ARMS_Limfjord_Green33_190618_191029_SF40_DMSO,Denmark,Limfjord,Green33,2019-06-18,2019-10-29,ERR4018498,ERR4018480,ERR4018489,ERR4018471,ERR4018472,ERR4018473,CC BY,56.901246,9.058189,4,Sessile,DMSO,40
