EventID,MaterialSampleID,OriginalSampleID,Gene_COI,GeneNegControl_COI,GeneITS,GeneNegControl_ITS,Gene18S,GeneNegControl_18S
ARMS_SWC_Varberg3_20200213_20200603,ARMS_SWC_Varberg3_20200213_20200603_SF40,ARMS_SWC_Varberg3_200213-200603_SF40,ERR4914153,ERR4914160,ERR4914211,ERR4914218,ERR4914095,ERR4914102
ARMS_TZS_Angbat_20180711_20181106,ARMS_TZS_Angbat_20180711_20181106_MF100_ETOH,ANG-MF100-ETOH (2-3),ERR7125522,ERR7125582,discontinued,discontinued,ERR7125518,ERR7125581
ARMS_TZS_Angbat_20180711_20181106,ARMS_TZS_Angbat_20180711_20181106_MF500_ETOH,ANG-MF500-ETOH (1),ERR4018733,ERR4018737,ERR4018731,ERR4018475,ERR4605225,ERR4605902
ARMS_TZS_Angbat_20180711_20181106,ARMS_TZS_Angbat_20180711_20181106_SF48_ETOH,ANG-PSF-ETOH (8-10),ERR7125523,ERR7125582,discontinued,discontinued,ERR7125519,ERR7125581
ARMS_TZS_Angbat_20200608_20201117,ARMS_TZS_Angbat_20200608_20201117_MF100,ARMS_TZS_ANG_200608-201117_MF100_ETOH,ERR7125501,ERR7125534,ERR7125502,ERR7125535,ERR7125500,ERR7125533
ARMS_TZS_Angbat_20200608_20201117,ARMS_TZS_Angbat_20200608_20201117_MF500,ARMS_TZS_ANG_200608-201117_MF500_ETOH,ERR7125504,ERR7125534,ERR7125505,ERR7125535,ERR7125503,ERR7125533
ARMS_TZS_Angbat_20210608_20211124,ARMS_TZS_Angbat_20210608_20211124_SF40,ARMS_TZS_ANG_210608-211124_PSF40_DMSO_(A-C),,,,,,
ARMS_TZS_Angbat_20210608_20211124,ARMS_TZS_Angbat_20210608_20211124_MF100,ARMS_TZS_ANG_210608-211124_MF100_DMSO_(A-B),,,,,,
ARMS_TZS_Angbat_20210608_20211124,ARMS_TZS_Angbat_20210608_20211124_MF500,ARMS_TZS_ANG_210608-211124_MF500_DMSO_(A-B),,,,,,
ARMS_TZS_Angbat_20210609_20220630,ARMS_TZS_Angbat_20210609_20220630_SF40_ETOH,ARMS_TZS_ANG_210609-300622_SF40_ETOH_(A-B),,,,,,
ARMS_TZS_Angbat_20210609_20220630,ARMS_TZS_Angbat_20210609_20220630_MF100_ETOH,ARMS_TZS_ANG_210609-300622_MF100_ETOH_(A-B),,,,,,
ARMS_TZS_Angbat_20210609_20220630,ARMS_TZS_Angbat_20210609_20220630_MF500_ETOH,ARMS_TZS_ANG_210609-300622_MF500_ETOH_A,,,,,,
ARMS_TZS_Angbat_20200608_20201117,ARMS_TZS_Angbat_20200608_20201117_SF40,ARMS_TZS_ANG_200608-201117_SF40_ETOH_A,ERR7125507,ERR7125534,ERR7125508,ERR7125535,ERR7125506,ERR7125533
ARMS_TZS_Kummelkobben_20200608_20201120,ARMS_TZS_Kummelkobben_20200608_20201120_MF100,ARMS_TZS_KUMM_200608-201120_MF100_ETOH,ERR7125510,ERR7125534,ERR7125511,ERR7125535,ERR7125509,ERR7125533
ARMS_TZS_Kummelkobben_20200608_20201120,ARMS_TZS_Kummelkobben_20200608_20201120_MF500,ARMS_TZS_KUMM_200608-201120_MF500_ETOH,ERR7125513,ERR7125534,ERR7125514,ERR7125535,ERR7125512,ERR7125533
ARMS_TZS_Kummelkobben_20200608_20201120,ARMS_TZS_Kummelkobben_20200608_20201120_SF40,ARMS_TZS_KUMM_200608-201120_SF40_ETOH_A,ERR7125516,ERR7125534,ERR7125517,ERR7125535,ERR7125515,ERR7125533
ARMS_TZS_Kummelkobben_20210608_20211122,ARMS_TZS_Kummelkobben_20210608_20211122_SF40,ARMS_TZS_KUMM_210608-211122_PSF_DMSO,,,,,,
ARMS_TZS_Kummelkoben_20210608_20211122,ARMS_TZS_Kummelkoben_20210608_20211122_MF100,ARMS_TZS_KUMM_210608-211122_MF100_DMSO,,,,,,
ARMS_TZS_Kummelkoben_20210608_20211122,ARMS_TZS_Kummelkoben_20210608_20211122_MF500,ARMS_TZS_KUMM_210608-211122_MF500_DMSO,,,,,,
ARMS_TZS_Kummelkobben_20210609_20220622,ARMS_TZS_Kummelkobben_20210609_20220622_SF40,ARMS_TZS_KUMM_210609_220622_SF40_ETOH_A,,,,,,
ARMS_TZS_Kummelkobben_20210609_20220622,ARMS_TZS_Kummelkobben_20210609_20220622_MF100,ARMS_TZS_KUMM_210609_220622_MF100_ETOH,,,,,,
ARMS_TZS_Kummelkobben_20210609_20220622,ARMS_TZS_Kummelkobben_20210609_20220622_MF500,ARMS_TZS_KUMM_210609_220622_MF500_ETOH,,,,,,
ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_20180711_20181107_MF100_ETOH,SPI-MF100-ETOH (37),ERR7125524,ERR7125582,discontinued,discontinued,ERR7125520,ERR7125581
ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_20180711_20181107_MF500_ETOH,SPI-MF500-ETOH (36),ERR4018732,ERR4018737,ERR4018730,ERR4018475,ERR4605224,ERR4605902
ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_20180711_20181107_SF48_ETOH,SPI-PSF-ETOH (104-106),ERR7125525,ERR7125582,discontinued,discontinued,ERR7125521,ERR7125581
ARMS_TZS_Spikarna_20200608_20201119,ARMS_TZS_Spikarna_20200608_20201119_MF100,ARMS_TZS_SPIK_200608-201119_MF100_ETOH,,,,,,
ARMS_TZS_Spikarna_20200608_20201119,ARMS_TZS_Spikarna_20200608_20201119_MF500,ARMS_TZS_SPIK_200608-201119_MF500_ETOH,,,,,,
ARMS_TZS_Spikarna_20200608_20201119,ARMS_TZS_Spikarna_20200608_20201119_SF40,ARMS_TZS_SPIK_200608-201119_SF40_ETOH_A,,,,,,
ARMS_TZS_Spikarna_20210607_20211122,ARMS_TZS_Spikarna_20210607_20211122_SF40,ARMS_TZS_SPIK_210607-211122_PSF40_DMSO_(A-B),,,,,,
ARMS_TZS_Spikarna_20210607_20211122,ARMS_TZS_Spikarna_20210607_20211122_MF100,ARMS_TZS_SPIK_210607-211122_MF100_DMSO,,,,,,
ARMS_TZS_Spikarna_20210607_20211122,ARMS_TZS_Spikarna_20210607_20211122_MF500,ARMS_TZS_SPIK_210607-211122_MF500_DMSO,,,,,,
