OTUID,taxonomicClassificationOrig,Domain,Supergroup,Division/Kingdom,Phylum/Class,Level_X,Level_XX,Level_XXX,Level_XXXX,Level_XXXXX,genus_species
Otu974,Main genome;Eukaryota;Opisthokonta;Mesomycetozoa;Ichthyosporea;Ichthyosphonida;Abeoformidae;Group (Abeoformidae);MAIP;Abeoformidae (MAIP);Group (Abeoformidae (MAIP));MAIP (Group (Abeoformidae (MAIP)));X (MAIP (Group (Abeoformidae (MAIP))));Abeoformidae (X (MAIP (Group (Abeoformidae (MAIP)))));Group (Abeoformidae (X (MAIP (Group (Abeoformidae (MAIP))))));MAIP (Group (Abeoformidae (X (MAIP (Group (Abeoformidae (MAIP)))))));X (MAIP (Group (Abeoformidae (X (MAIP (Group (Abeoformidae (MAIP))))))));sp. (X (MAIP (Group (Abeoformidae (X (MAIP (Group (Abeoformidae (MAIP))))))))),Eukaryota,Opisthokonta,Mesomycetozoa,Ichthyosporea,Ichthyosphonida,Abeoformidae,MAIP,NA,NA,NA
Otu899,Main genome;Eukaryota;Hacrobia;Katablepharidophyta;Katablepharidaceae;Katablepharidales;Katablepharidales (order);X (Katablepharidales (order));Katablepharidales (X (Katablepharidales (order)));XX (Katablepharidales (X (Katablepharidales (order))));Katablepharidales (XX (Katablepharidales (X (Katablepharidales (order)))));XX (Katablepharidales (XX (Katablepharidales (X (Katablepharidales (order))))));sp. (XX (Katablepharidales (XX (Katablepharidales (X (Katablepharidales (order))))))),Eukaryota,Hacrobia,Katablepharidophyta,Katablepharidaceae,Katablepharidales,NA,NA,NA,NA,NA
Otu804,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Araphid-pennate,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Araphid-pennate,NA,NA,NA,NA,NA
Otu805,Main genome;Eukaryota;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Virgulinellidae;Unknown Virgulinellidae family 1,Eukaryota,Rhizaria,Foraminifera,Globothalamea,Rotaliida,Virgulinellidae,NA,NA,NA,NA
Otu807,Main genome;Eukaryota;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Unknown Rotaliida order 6,Eukaryota,Rhizaria,Foraminifera,Globothalamea,Rotaliida,NA,NA,NA,NA,NA
Otu569,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Gregarinomorphea (class);X (Gregarinomorphea (class));Gregarinomorphea (X (Gregarinomorphea (class)));XX (Gregarinomorphea (X (Gregarinomorphea (class))));Selenidium2;Selenidium2 (strain);pisinnus,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Selenidium2,pisinnus,NA,NA,NA,Selenidium2_pisinnus
Otu802,Main genome;Eukaryota,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otu803,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Stenothoe;Stenothoe (genus);Unknown Stenothoe (genus) species 1,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Malacostraca,Stenothoe,NA,NA,NA
Otu956,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Maxillopoda (family);X (Maxillopoda (family));Maxillopoda (X (Maxillopoda (family)));X (Maxillopoda (X (Maxillopoda (family))));sp. (X (Maxillopoda (X (Maxillopoda (family))))),Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu568,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa-Ascetosporea;Paradinida;Paradinidae;Paradinidae (family);X (Paradinidae (family));Paradinidae (X (Paradinidae (family)));X (Paradinidae (X (Paradinidae (family))));sp. (X (Paradinidae (X (Paradinidae (family))))),Eukaryota,Rhizaria,Cercozoa,Endomyxa-Ascetosporea,Paradinida,Paradinidae,NA,NA,NA,NA
Otu808,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Hypotrichia (order);X (Hypotrichia (order));Hypotrichia (X (Hypotrichia (order)));XX (Hypotrichia (X (Hypotrichia (order))));Hypotrichia (XX (Hypotrichia (X (Hypotrichia (order)))));XX (Hypotrichia (XX (Hypotrichia (X (Hypotrichia (order))))));sp. (XX (Hypotrichia (XX (Hypotrichia (X (Hypotrichia (order))))))),Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,NA,NA,NA,NA,NA
Otu809,Main genome;Eukaryota;Archaeplastida;Rhodophyta;Florideophyceae;Ceramiales;Callithamniaceae;Callithamnion;Unknown Callithamnion genus 1,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Callithamnion,NA,NA,NA
Otu957,Main genome;Eukaryota;Opisthokonta;Metazoa;Brachiopoda;Brachiopoda (class);X (Brachiopoda (class));Brachiopoda (X (Brachiopoda (class)));XX (Brachiopoda (X (Brachiopoda (class))));Phoronis;Phoronis (strain);muelleri (Phoronis (strain)),Eukaryota,Opisthokonta,Metazoa,Brachiopoda,Phoronis,NA,NA,NA,NA,NA
