OTUID,taxonomicClassificationOrig,Domain,Supergroup,Division/Kingdom,Phylum/Class,Level_X,Level_XX,Level_XXX,Level_XXXX,Level_XXXXX,genus_species
Otu1779,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Microeuraphia;Unknown Microeuraphia genus 10,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Microeuraphia,NA,NA,NA
Otu1770,Main genome;Eukaryota;Opisthokonta;Fungi;Mucoromycota;Unknown Mucoromycota class 3,Eukaryota,Opisthokonta,Fungi,Mucoromycota,NA,NA,NA,NA,NA,NA
Otu1772,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa-Phytomyxea;Plasmodiophorida;Polymyxa-lineage;Unknown Polymyxa-lineage family 2,Eukaryota,Rhizaria,Cercozoa,Endomyxa-Phytomyxea,Plasmodiophorida,Polymyxa-lineage,NA,NA,NA,NA
Otu1775,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Porosporidae;Porosporidae (family);X (Porosporidae (family));Porosporidae (X (Porosporidae (family)));X (Porosporidae (X (Porosporidae (family))));sp. (X (Porosporidae (X (Porosporidae (family))))),Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Porosporidae,NA,NA,NA,NA
Otu1776,Main genome;Eukaryota;Stramenopiles;Pseudofungi;Pirsonia;Clade;Pirsonia (Clade);Clade (Pirsonia (Clade));X (Clade (Pirsonia (Clade)));Pirsonia (X (Clade (Pirsonia (Clade))));Clade (Pirsonia (X (Clade (Pirsonia (Clade)))));XX (Clade (Pirsonia (X (Clade (Pirsonia (Clade))))));Pirsonia (XX (Clade (Pirsonia (X (Clade (Pirsonia (Clade)))))));Clade (Pirsonia (XX (Clade (Pirsonia (X (Clade (Pirsonia (Clade))))))));XXX (Clade (Pirsonia (XX (Clade (Pirsonia (X (Clade (Pirsonia (Clade)))))))));Pirsonia (XXX (Clade (Pirsonia (XX (Clade (Pirsonia (X (Clade (Pirsonia (Clade))))))))));Clade (Pirsonia (XXX (Clade (Pirsonia (XX (Clade (Pirsonia (X (Clade (Pirsonia (Clade)))))))))));XXX (Clade (Pirsonia (XXX (Clade (Pirsonia (XX (Clade (Pirsonia (X (Clade (Pirsonia (Clade))))))))))));sp. (XXX (Clade (Pirsonia (XXX (Clade (Pirsonia (XX (Clade (Pirsonia (X (Clade (Pirsonia (Clade))))))))))))),Eukaryota,Stramenopiles,Pseudofungi,Pirsonia,Clade,NA,NA,NA,NA,NA
Otu1419,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Polykrikos;Polykrikos (genus);kofoidii,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Polykrikos,kofoidii,NA,Polykrikos_kofoidii
Otu1414,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class)),Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,NA,NA,NA,NA,NA,NA
Otu1416,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Unknown X (Bacillariophyta (class)) family 1,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,NA,NA,NA,NA,NA,NA
Otu1412,Main genome;Eukaryota;Opisthokonta;Metazoa;Urochordata;Urochordata (class);X (Urochordata (class));Ascidiacea;Unknown Ascidiacea genus 4,Eukaryota,Opisthokonta,Metazoa,Urochordata,Ascidiacea,NA,NA,NA,NA,NA
Otu1560,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Unknown Crustacea order 26,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,NA,NA,NA,NA,NA
Otu1563,Main genome;Eukaryota;Opisthokonta;Metazoa;Myxozoa;Myxozoa (class);X (Myxozoa (class));Unknown X (Myxozoa (class)) family 1,Eukaryota,Opisthokonta,Metazoa,Myxozoa,NA,NA,NA,NA,NA,NA
Otu1562,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida (class);X (Annelida (class));Annelida (X (Annelida (class)));XX (Annelida (X (Annelida (class))));Harmothoe;Harmothoe (strain);oculinarium,Eukaryota,Opisthokonta,Metazoa,Annelida,Harmothoe,oculinarium,NA,NA,NA,Harmothoe_oculinarium
