Station,Country,ARMS_unit,Latitude,Longitude,Depth,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Gdynia,Poland,GDY1,54.48522000,18.57111000,4,2021-04-27,2022-10,ARMS_Gdynia_GDY1_20210427_00000000,0,0,0,0,2022-07-06,2022-07-06
Crete,Greece,2UBPC,35.34662000,25.27876000,21,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,0,0,0,164,2019-11-11,2022-01-10
Crete,Greece,2UBPC,35.34662000,25.27876000,21,2022-09-01,2023-08,ARMS_Crete_2UBPC_20220901_00000000,0,0,0,0,2022-09-01,2022-09-01
Crete,Greece,2UBPC,35.34662000,25.27876000,21,2022-09-01,2023-08,ARMS_Crete_2UBPC_20220901_00000000,0,0,0,0,2022-09-01,2022-09-01
Crete,Greece,2UBPC,35.34662000,25.27876000,21,2022-09-01,2023-08,ARMS_Crete_2UBPC_20220901_00000000,0,0,0,0,2021-12-03,2022-09-01
Crete,Greece,2UBPC,35.34662000,25.27876000,21,2020-11-20,2022-09-01,ARMS_Crete_2UBPC_20201120_20220901,0,0,0,1,2020-12-16,2022-09-01
Crete,Greece,1HERP,35.34315300,25.13660500,4,2019-06-12,2019-10-11,ARMS_Crete_1HERP_20190612_20191011,0,0,0,156,2019-11-11,2021-11-23
Crete,Greece,1HERP,35.34315300,25.13660500,4,2019-06-12,2020-06-18,ARMS_Crete_1HERP_20190612_20200618,0,0,0,175,2019-11-14,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,2020-09-03,2021-06-25,ARMS_Crete_1HERP_20200903_20210625,0,0,0,177,2020-12-16,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,2020-09-03,2021-01-22,ARMS_Crete_1HERP_20200903_20210122,0,0,0,163,2020-12-16,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,2020-09-03,2021-10-12,ARMS_Crete_1HERP_20200903_20211012,0,0,0,171,2020-12-16,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,2018-09-28,2019-01-28,ARMS_Crete_1HERP_20180928_20190128,0,0,0,140,2019-11-11,2021-11-23
Crete,Greece,1HERP,35.34315300,25.13660500,4,2019-06-12,2020-02-10,ARMS_Crete_1HERP_20190612_20200210,0,0,0,157,2019-11-14,2021-11-23
Galway,Ireland,Gurr3,53.31544300,-9.67156400,7.2,2020-07-23,2021-07-08,ARMS_Galway_Gurr3_20200723_20210708,0,0,0,21,2020-05-13,2021-08-18
Galway,Ireland,Gurr3,53.31544300,-9.67156400,7.2,2021-07-20,2022-07,ARMS_Galway_Gurr3_20210720_00000000,0,0,0,0,2021-08-18,2021-08-18
Galway,Ireland,Gurr2,53.31567500,-9.66854100,6.2,2020-07-21,2021-07-07,ARMS_Galway_Gurr2_20200721_20210707,0,0,0,21,2020-05-13,2021-08-18
Galway,Ireland,Gurr2,53.31567500,-9.66854100,6.2,2021-07-20,2022-07,ARMS_Galway_Gurr2_20210720_00000000,0,0,0,0,2021-08-18,2021-08-18
Galway,Ireland,Gurr1,53.31569300,-9.67027800,6.6,2020-07-21,2021-07-08,ARMS_Galway_Gurr1_20200721_20210708,0,0,0,21,2020-05-13,2021-08-18
Galway,Ireland,Gurr1,53.31569300,-9.67027800,6.6,2021-07-20,2022-07,ARMS_Galway_Gurr1_20210720_00000000,0,0,0,0,2021-08-18,2021-08-18
Galway,Ireland,Gurr4,53.31484900,-9.67307900,6.4,2020-07-23,2020-10,ARMS_Galway_Gurr4_20200723_00000000,0,0,0,0,2020-09-14,2020-09-14
Laeso,Denmark,Laeso3,57.25692000,11.14199000,10,2019-08-19,2020-08-11,ARMS_Laeso_Laeso3_20190819_20200811,0,0,0,21,2019-11-11,2020-09-02
Laeso,Denmark,Laeso3,57.25692000,11.14199000,10,2020-08-11,2021-08,ARMS_Laeso_Laeso3_20200811_00000000,0,0,0,0,2020-09-01,2020-09-01
Laeso,Denmark,Laeso1,57.25689000,11.14193000,10,2019-08-19,2020-08-11,ARMS_Laeso_Laeso1_20190819_20200811,0,0,0,27,2019-11-11,2020-09-18
Laeso,Denmark,Laeso1,57.25689000,11.14193000,10,2020-08-11,2021-08,ARMS_Laeso_Laeso1_20200811_00000000,0,0,0,0,2020-09-01,2020-09-01
Laeso,Denmark,Laeso2,57.25692000,11.14197000,10,2020-08-11,2021-08,ARMS_Laeso_Laeso2_20200811_00000000,0,0,0,0,2020-09-01,2020-09-01
Laeso,Denmark,Laeso2,57.25692000,11.14197000,10,2019-08-19,2020-08-11,ARMS_Laeso_Laeso2_20190819_20200811,0,0,0,21,2020-04-29,2020-09-02
Limfjord,Denmark,Green33,56.90155000,9.05516667,4,2019-06-18,2019-10-29,ARMS_Limfjord_Green33_20190618_20191029,3,0,376,28,2019-11-11,2020-04-08
Limfjord,Denmark,Green33,56.90155000,9.05516667,4,2020-11-10,2021-10,ARMS_Limfjord_Green33_20201110_00000000,0,0,0,0,2020-12-16,2020-12-16
Limfjord,Denmark,Green33,56.90155000,9.05516667,4,2019-10-29,2020-11-10,ARMS_Limfjord_Green33_20191029_20201110,0,0,0,24,2019-11-11,2020-12-19
Limfjord,Denmark,Red2,56.89985000,9.05663333,4,2019-06-18,2019-10-29,ARMS_Limfjord_Red2_20190618_20191029,3,0,224,56,2019-11-11,2020-04-08
Limfjord,Denmark,Red2,56.89985000,9.05663333,4,2020-11-10,2021-10,ARMS_Limfjord_Red2_20201110_00000000,0,0,0,0,2020-12-16,2020-12-16
Limfjord,Denmark,Red2,56.89985000,9.05663333,4,2019-10-29,2020-11-10,ARMS_Limfjord_Red2_20191029_20201110,0,0,0,21,2019-11-11,2020-12-19
Limfjord,Denmark,Yellow8,56.90131667,9.05733333,3.5,2019-06-18,2019-10-29,ARMS_Limfjord_Yellow8_20190618_20191029,3,0,677,99,2019-11-11,2020-04-08
Limfjord,Denmark,Yellow8,56.90131667,9.05733333,3.5,2019-10-29,2020-11-10,ARMS_Limfjord_Yellow8_20191029_20201110,0,0,0,0,2019-11-11,2020-12-19
Limfjord,Denmark,Yellow8,56.90131667,9.05733333,3.5,2019-10-29,2019-10-29T11:00:00Z,ARMS_Limfjord_Yellow8_20191029_00000000,0,0,0,0,2020-01-03,2020-01-03
Limfjord,Denmark,Yellow8,56.90131667,9.05733333,3.5,2020-11-10,2021-10,ARMS_Limfjord_Yellow8_20201110_00000000,0,0,0,0,2020-12-16,2020-12-16
Bodo,Norway,GStraB,67.24035000,14.71173300,2,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,3,0,0,21,2020-12-18,2021-06-28
Bodo,Norway,GStraB,67.24035000,14.71173300,2,2021-06-17,,ARMS_Bodo_GStraB_00000000_00000000,0,0,0,0,2019-11-14,2021-06-25
Bodo,Norway,GStraM,67.24021700,14.71153300,2,2021-06-17,,ARMS_Bodo_GStraM_00000000_00000000,0,0,0,0,2019-11-14,2021-06-25
Bodo,Norway,GStraM,67.24021700,14.71153300,2,2019-06-21,2020-12-07,ARMS_Bodo_GStraM_20190621_20201207,3,0,0,21,2020-12-18,2021-06-28
SWC,Sweden,Gbg4,57.68080500,11.72833100,5,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,3,0,413,18,2020-02-06,2021-12-10
SWC,Sweden,Bjorko1,57.71798400,11.67998900,1.5,2020-01-31,2020-05-18,ARMS_SWC_Bjorko1_20200131_20200518,3,0,295,36,2020-01-31,2021-12-10
