sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_Koster_VH2_20180418_20180906_SF40_DMSO,preservative,present in plutoF sample id,,
ARMS_Koster_VH2_20180418_20180906_SF40_DMSO,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
Koster_VH2_20180418_20180906_SS500_DMSO,arms_id,fail,Koster_VH2_20180418_20180906_SS500_DMSO,not found
ARMS_Koster_VH2_20180418_20180906_MF100_ETOH,event_id,pass,,
ARMS_Koster_VH2_20180418_20180906_MF100_ETOH,preservative,present in plutoF sample id,,
ARMS_Koster_VH2_20180418_20180906_MF100_ETOH,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500_A,arms_id,fail,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500_A,not found
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_A,arms_id,fail,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_A,not found
ARMS_BelgiumCoast_AJJC81_20200506_20201012_SF40_A,arms_id,fail,ARMS_BelgiumCoast_AJJC81_20200506_20201012_SF40_A,not found
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_A,arms_id,fail,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_A,not found
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500_A,arms_id,fail,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500_A,not found
ARMS_BelgiumCoast_AJJC86_20200506_20201012_SF40_A,arms_id,fail,ARMS_BelgiumCoast_AJJC86_20200506_20201012_SF40_A,not found
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,event_id,fail,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgianCoast_AZBE1_20190924_20200303
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,event_id,fail,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgianCoast_AZBE1_20190924_20200303
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,event_id,fail,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgianCoast_AZBE1_20190924_20200303
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,event_id,pass,,
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_SF40,arms_id,fail,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_SF40,not found
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,event_id,pass,,
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,event_id,pass,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
