Event-ID from GS,Deployment Date from GS,Collection Date from GS,Event_id from PlutoF,Date_start from PlutoF,Date_end from PlutoF
ARMS_Laeso_Laeso2_20190819_20200811,2019-08-19,2020-08-11,ARMS_Laeso_Laeso2_20190819_20200811,2019-08-19,2020-08-11
missing,missing,missing,ARMS_Laeso_Laeso2_20200811_20210815,2020-08-11,2021-08-15
ARMS_Limfjord_Green33_20190618_20191029,2019-06-18,2019-10-29,ARMS_Limfjord_Green33_20190618_20191029,2019-06-18,2019-10-29
ARMS_Limfjord_Green33_20191029_20201110,2019-10-29,2020-11-10,ARMS_Limfjord_Green33_20191029_20201110,2019-10-29,2020-11-10
missing,missing,missing,ARMS_Limfjord_Green33_20201110_20211015,2020-11-10,2021-10-15
ARMS_Limfjord_Red2_20190618_20191029,2019-06-18,2019-10-29,ARMS_Limfjord_Red2_20190618_20191029,2019-06-18,2019-10-29
ARMS_Limfjord_Red2_20191029_20201110,2019-10-29,2020-11-10,ARMS_Limfjord_Red2_20191029_20201110,2019-10-29,2020-11-10
missing,missing,missing,ARMS_Limfjord_Red2_20201110_20211015,2020-11-10,2021-10-15
ARMS_Limfjord_Yellow8_20190618_20191029,2019-06-18,2019-10-29,ARMS_Limfjord_Yellow8_20190618_20191029,2019-06-18,2019-10-29
ARMS_Limfjord_Yellow8_20201110_20211115,2020-11-10,2021-11-15,ARMS_Limfjord_Yellow8_20201110_20211115,2020-11-10,2021-11-15
ARMS_Bodo_GStraB_20190621_20201207,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,2019-06-21,2020-12-07
missing,missing,missing,ARMS_Bodo_GStraB_20210617_00000000,2021-06-17,
missing,missing,missing,ARMS_Bodo_GStraM_20210617_00000000,2021-06-17,
ARMS_Bodo_GStraM_20190621_20201207,2019-06-21,2020-12-07,ARMS_Bodo_GStraM_20190621_20201207,2019-06-21,2020-12-07
ARMS_SWC_Gbg4_20200206_20200529,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,2020-02-06,2020-05-29
ARMS_SWC_Bjorko1_20200131_20200518,2020-01-31,2020-05-18,ARMS_SWC_Bjorko1_20200131_20200518,2020-01-31,2020-05-18
ARMS_SWC_Hjuvik1_20200131_20200518,2020-01-31,2020-05-18,ARMS_SWC_Hjuvik1_20200131_20200518,2020-01-31,2020-05-18
ARMS_SWC_Gbg1_20200206_20200520,2020-02-06,2020-05-20,ARMS_SWC_Gbg1_20200206_20200520,2020-02-06,2020-05-20
ARMS_SWC_Gbg2_20200206_20200520,2020-02-06,2020-05-20,ARMS_SWC_Gbg2_20200206_20200520,2020-02-06,2020-05-20
ARMS_SWC_Gbg3_20200206_20200529,2020-02-06,2020-05-29,ARMS_SWC_Gbg3_20200206_20200529,2020-02-06,2020-05-29
ARMS_SWC_Varberg1_20200213_20200603,2020-02-13,2020-06-03,ARMS_SWC_Varberg1_20200213_20200603,2020-02-13,2020-06-03
ARMS_SWC_Varberg2_20200213_20200603,2020-02-13,2020-06-03,ARMS_SWC_Varberg2_20200213_20200603,2020-02-13,2020-06-03
ARMS_SWC_Varberg3_20200213_20200603,2020-02-13,2020-06-03,ARMS_SWC_Varberg3_20200213_20200603,2020-02-13,2020-06-03
ARMS_SWC_Marstrand2_20200228_20200527,2020-02-28,2020-05-27,ARMS_SWC_Marstrand2_20200228_20200527,2020-02-28,2020-05-27
ARMS_SWC_Marstrand3_20200228_20200527,2020-02-28,2020-05-27,ARMS_SWC_Marstrand3_20200228_20200527,2020-02-28,2020-05-27
ARMS_SWC_Helsingborg1_20200305_20200604,2020-03-05,2020-06-04,ARMS_SWC_Helsingborg1_20200305_20200604,2020-03-05,2020-06-04
ARMS_SWC_Helsingborg2_20200305_20200604,2020-03-05,2020-06-04,ARMS_SWC_Helsingborg2_20200305_20200604,2020-03-05,2020-06-04
ARMS_SWC_Marstrand1_20200228_20200527,2020-02-28,2020-05-27,ARMS_SWC_Marstrand1_20200228_20200527,2020-02-28,2020-05-27
ARMS_SWC_Preemraff2_20200401_20200715,2020-04-01,2020-07-15,ARMS_SWC_Preemraff2_20200401_20200715,2020-04-01,2020-07-15
ARMS_SWC_Preemraff1_20200401_20200715,2020-04-01,2020-07-15,ARMS_SWC_Preemraff1_20200401_20200715,2020-04-01,2020-07-15
missing,missing,missing,ARMS_RavMarina_RavM2_20210422_20210726,2021-04-22,2021-07-26
missing,missing,missing,ARMS_RavMarina_RavM1_20210422_20210726,2021-04-22,2021-07-26
missing,missing,missing,ARMS_RavMarina_RavM3_20210422_20210726,2021-04-22,2021-07-26
missing,missing,missing,ARMS_RavHarbour_RavH3_20210422_20210726,2021-04-22,2021-07-26
missing,missing,missing,ARMS_RavHarbour_RavH1_20210422_20210726,2021-04-22,2021-07-26
missing,missing,missing,ARMS_RavHarbour_RavH2_20210422_20210726,2021-04-22,2021-07-26
missing,missing,missing,ARMS_AdriaticEastCoast_Ven3_20210623_20220712,2021-06-23,2022-07-12
missing,missing,missing,ARMS_AdriaticEastCoast_Ven1_20210623_20220712,2021-06-23,2022-07-12
missing,missing,missing,ARMS_AdriaticEastCoast_Ven2_20210623_20220712,2021-06-23,2022-07-12
ARMS_Limfjord_Green33_20201110_20211115,2020-11-10,2021-11-15,missing,missing,missing
ARMS_Limfjord_Green33_20201110_20211115,2020-11-10,2021-11-15,missing,missing,missing
ARMS_Limfjord_Green33_20201110_20211115,2020-11-10,2021-11-15,missing,missing,missing
ARMS_Limfjord_Red2_20201110_20211115,2020-11-10,2021-11-15,missing,missing,missing
ARMS_Limfjord_Red2_20201110_20211115,2020-11-10,2021-11-15,missing,missing,missing
ARMS_Limfjord_Red2_20201110_20211115,2020-11-10,2021-11-15,missing,missing,missing
ARMS_Ravenna_RavH1_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavH1_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavH1_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavH2_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavH2_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavH2_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavH3_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavH3_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavH3_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavM1_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavM1_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavM1_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavM2_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavM2_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavM2_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavM3_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavM3_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_Ravenna_RavM3_20210422_20210722,2021-04-22,2021-07-22,missing,missing,missing
ARMS_TZS_Angbat_20210608_20211124,2021-06-08,2021-11-24,missing,missing,missing
ARMS_TZS_Angbat_20210608_20211124,2021-06-08,2021-11-24,missing,missing,missing
ARMS_TZS_Angbat_20210608_20211124,2021-06-08,2021-11-24,missing,missing,missing
ARMS_TZS_Angbat_20210609_20220630,2021-06-09,2022-06-30,missing,missing,missing
ARMS_TZS_Angbat_20210609_20220630,2021-06-09,2022-06-30,missing,missing,missing
ARMS_TZS_Angbat_20210609_20220630,2021-06-09,2022-06-30,missing,missing,missing
ARMS_TZS_Kummelkobben_20210608_20211122,2021-06-08,2021-11-22,missing,missing,missing
ARMS_TZS_Kummelkoben_20210608_20211122,2021-06-08,2021-11-22,missing,missing,missing
ARMS_TZS_Kummelkoben_20210608_20211122,2021-06-08,2021-11-22,missing,missing,missing
ARMS_TZS_Kummelkobben_20210609_20220622,2021-06-09,2022-06-22,missing,missing,missing
ARMS_TZS_Kummelkobben_20210609_20220622,2021-06-09,2022-06-22,missing,missing,missing
ARMS_TZS_Kummelkobben_20210609_20220622,2021-06-09,2022-06-22,missing,missing,missing
ARMS_TZS_Spikarna_20210607_20211122,2021-06-07,2021-11-22,missing,missing,missing
ARMS_TZS_Spikarna_20210607_20211122,2021-06-07,2021-11-22,missing,missing,missing
ARMS_TZS_Spikarna_20210607_20211122,2021-06-07,2021-11-22,missing,missing,missing
,2021-07-29,2021-11-24,missing,missing,missing
,2021-07-29,2021-11-24,missing,missing,missing
,2021-07-29,2021-11-24,missing,missing,missing
,2021-07-29,2021-11-24,missing,missing,missing
,2021-07-29,2021-11-24,missing,missing,missing
