sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_Limfjord_Green33_20190618_20191029_SF40,event_id,pass,,
ARMS_Limfjord_Limfjord1_20191029_20201110_MF100,arms_id,fail,not found,ARMS_Limfjord_Limfjord1_20191029_20201110_MF100
ARMS_Limfjord_Limfjord1_20191029_20201110_MF500,arms_id,fail,not found,ARMS_Limfjord_Limfjord1_20191029_20201110_MF500
ARMS_Limfjord_Limfjord1_20191029_20201110_SF40,arms_id,fail,not found,ARMS_Limfjord_Limfjord1_20191029_20201110_SF40
ARMS_Limfjord_Limfjord1_20201110_20211115_MF100,arms_id,fail,not found,ARMS_Limfjord_Limfjord1_20201110_20211115_MF100
ARMS_Limfjord_Limfjord1_20201110_20211115_MF500,arms_id,fail,not found,ARMS_Limfjord_Limfjord1_20201110_20211115_MF500
ARMS_Limfjord_Limfjord1_20201110_20211115_SF40,arms_id,fail,not found,ARMS_Limfjord_Limfjord1_20201110_20211115_SF40
ARMS_Limfjord_Limfjord2_20201110_20211115_MF100,arms_id,fail,not found,ARMS_Limfjord_Limfjord2_20201110_20211115_MF100
ARMS_Limfjord_Limfjord2_20201110_20211115_MF500,arms_id,fail,not found,ARMS_Limfjord_Limfjord2_20201110_20211115_MF500
ARMS_Limfjord_Limfjord2_20201110_20211115_SF40,arms_id,fail,not found,ARMS_Limfjord_Limfjord2_20201110_20211115_SF40
ARMS_Limfjord_Limfjord3_20191029_20201110_MF100,arms_id,fail,not found,ARMS_Limfjord_Limfjord3_20191029_20201110_MF100
ARMS_Limfjord_Limfjord3_20191029_20201110_MF500,arms_id,fail,not found,ARMS_Limfjord_Limfjord3_20191029_20201110_MF500
ARMS_Limfjord_Limfjord3_20191029_20201110_SF40,arms_id,fail,not found,ARMS_Limfjord_Limfjord3_20191029_20201110_SF40
ARMS_Limfjord_Limfjord3_20201110_20211115_MF100,arms_id,fail,not found,ARMS_Limfjord_Limfjord3_20201110_20211115_MF100
ARMS_Limfjord_Limfjord3_20201110_20211115_MF500,arms_id,fail,not found,ARMS_Limfjord_Limfjord3_20201110_20211115_MF500
