ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
Crete,2UBPC,ARMS_Crete_2UBPC_20201120_20220901,6818714,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/6d34c75a-8b26-459a-b3be-6fa63cce219d.jpg
TZS,Angbat,ARMS_TZS_Angbat_20210608_20211124,6273499,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cd0c3eac-9136-4699-a40e-4e267a6cb096.jpg
Getxo,G3,ARMS_Getxo_G3_20200624_20201103,3570241,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0a58cd37-b2f6-4de9-827c-e3c531ea05bf.jpg
Svalbard,S2,ARMS_Svalbard_S2_20180708_20190805,5520415,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/7fcac226-02ca-438a-a77c-384781742c37.jpg
Eilat,Katza1,ARMS_Eilat_Katza1_20181024_20200706,3554040,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/dc38304e-dd88-45ad-9680-61f2689e699e.jpg
Roscoff,MarBloR2,ARMS_Roscoff_MarBloR2_20190612_20190917,3456056,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/de60048a-69d4-4f0b-8e6c-d54dc3872c71.jpg
Eilat,NR1,ARMS_Eilat_NR1_20181017_20200204,3557094,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/7c9d95a3-1b58-4d00-9359-2d892c8fce09.jpg
Koster,VH3,ARMS_Koster_VH3_20180418_20190527,3452783,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/09276c90-8dee-44bf-96b0-8cdc6d3a9f16.jpg
Galway,Gurr3,ARMS_Galway_Gurr3_20200723_20210708,5136027,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/b33a7f1f-e4b0-4564-bd59-c8024d166100.jpg
Crete,1HERP,ARMS_Crete_1HERP_20200903_20210122,5525571,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/9ad61c01-7c11-419b-a3c3-672acef21ccf.jpg
Koster,VH1,ARMS_Koster_VH1_20210608_20220608,6823957,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e12f0dba-99f9-4e10-aee1-2e284d1e02f5.jpeg
Koster,VH1,ARMS_Koster_VH1_20200716_20210608,4614863,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/2ba1ef3c-95e2-42ff-b3ce-f432a7998158.jpg
Crete,1HERP,ARMS_Crete_1HERP_20190612_20191011,3453466,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cdee65b1-9a64-4f55-8bee-dc112d812a5b.jpg
Eilat,Katza2,ARMS_Eilat_Katza2_20181024_20200803,3553498,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/56e18513-b484-40a1-9e96-77b5a324761f.jpg
Crete,2UBPC,ARMS_Crete_2UBPC_20190924_20201211,5525998,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/9211d6bc-1d6f-419d-a6c0-822f39e9326a.jpg
Getxo,G3,ARMS_Getxo_G3_20200624_20201103,3570125,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/aefac590-0011-47b6-9327-6b0e11144ed3.jpg
Limfjord,Red2,ARMS_Limfjord_Red2_20190618_20191029,3452956,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/acd45a2c-291e-46d2-a71a-d2e6a75932fe.jpg
SWC,Bjorko1,ARMS_SWC_Bjorko1_20200131_20200518,3488253,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/700e37c8-078e-4e18-af11-eba956113359.jpeg
Getxo,G2,ARMS_Getxo_G2_20200624_20201103,3569915,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/be89dc53-e2ae-42c4-85d5-703649d4e56b.jpg
Svalbard,S1C,ARMS_Svalbard_S1C_20200806_20220803,6813484,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/a299f9a1-3618-42df-8ac6-e6f75b46a4f4.jpg
GulfOfPiran,Fornace,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475894,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/4304cf3c-4057-4d2c-bbf5-aaec98aebd5e.jpg
GulfOfPiran,Fornace,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475952,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/37db48e5-d82b-4ed3-8e1a-157fdd8039de.jpg
Eilat,NR1,ARMS_Eilat_NR1_20181017_20200204,3557134,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/1687c2fc-dbbe-436d-a1c1-adbc21cbec99.jpg
Crete,2UBPC,ARMS_Crete_2UBPC_20201120_20220901,6818653,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/14b613d3-76c7-46b5-95db-2ff50df4295f.jpg
Svalbard,S1,ARMS_Svalbard_S1_20190806_20200804,3566569,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/92c81e7f-24fc-4707-8a7f-d3741336b5e2.jpg
Crete,1HERP,ARMS_Crete_1HERP_20190612_20191011,3453443,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/07918d9c-24e1-4f36-8160-4fdfb5cc31fd.jpg
Crete,1HERP,ARMS_Crete_1HERP_20200903_20210626,5525710,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e990869a-4087-48fa-94c5-66480fc8487e.jpg
SWC,Gbg1,ARMS_SWC_Gbg1_20200206_20200520,3568934,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/3960c3d5-8ac6-4585-bd18-e1a1a5032bf0.jpg
SWC,Bjorko1,ARMS_SWC_Bjorko1_20200131_20200518,3488246,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/41a13eba-95eb-4a0e-ae9e-f7f0ff525299.jpeg
Svalbard,S1B,ARMS_Svalbard_S1B_20200806_20220731,6813049,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0c0102bf-dd06-4b69-9e9c-50156fbf35b6.jpg
Crete,1HERP,ARMS_Crete_1HERP_20190612_20191011,3453477,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/f533e742-1ef5-48e8-a11a-d1cff7bc9722.jpg
SWC,Bjorko1,ARMS_SWC_Bjorko1_20200131_20200518,3488242,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/5a95a57c-2e12-4584-a00d-c0ff28907033.jpeg
BelgiumCoast,AZFPin,ARMS_BelgiumCoast_AZFPin_20180712_20180818,3457165,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/bb611fc6-6606-4279-89b9-076975b30618.jpg
Getxo,G1,ARMS_Getxo_G1_20200624_20201103,3569692,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/58757644-19c5-4d64-bf49-7e7288f8e65a.jpg
Koster,VH3,ARMS_Koster_VH3_20210608_20220609,6823978,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/5786db9f-8869-4388-a6be-c3ff7a064ccb.jpeg
Eilat,Katza2,ARMS_Eilat_Katza2_20181024_20200803,3553368,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0b68f1b1-95ba-4038-876c-d917b70c4fb0.jpg
Eilat,NR2,ARMS_Eilat_NR2_20181017_20200524,3551197,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/dda02255-fdd8-4d55-8249-65471605c3dc.jpg
BelgiumCoast,AZFPin,ARMS_BelgiumCoast_AZFPin_20180712_20180818,3457295,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0f493a6d-a911-4f36-aa90-4b0d0175c8b0.jpg
TZS,Angbat,ARMS_TZS_Angbat_20180711_20181106,3483907,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/62940f8e-4a25-4204-851d-4253af7d1f9b.jpg
Crete,1HERP,ARMS_Crete_1HERP_20190612_20200618,5525390,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/174b5284-9427-4c94-af7c-ec422bf412e9.jpg
GulfOfPiran,Fornace,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475856,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/3a6dd0c8-91df-4268-8ef3-3e734f26823c.jpg
Getxo,G3,ARMS_Getxo_G3_20200624_20201103,3570212,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/068a1525-944a-4563-96dc-f50b2d53f94c.jpg
GulfOfPiran,Fornace,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475815,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/67ab04af-1230-4f93-9129-9b89b49f1f96.jpg
Eilat,NR1,ARMS_Eilat_NR1_20181017_20200204,3557044,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c7299afd-cc9f-474f-a77e-24b2c2a1da74.jpg
Getxo,G3,ARMS_Getxo_G3_20190624_20191016,3475224,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cedbb955-cfff-4aed-bd8a-892f560de414.jpg
Getxo,G2,ARMS_Getxo_G2_20190624_20191016,3475549,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/6439094b-692d-4063-9a34-51fcee5ef0bc.jpg
Eilat,Katza1,ARMS_Eilat_Katza1_20181024_20200706,3554035,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d18374e4-5f0f-4c34-93c6-f13841b734f8.jpg
Crete,1HERP,ARMS_Crete_1HERP_20180928_20190128,3453424,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c432e3cc-ed19-4124-bf66-9497acd96d2b.jpg
Getxo,G3,ARMS_Getxo_G3_20200624_20201103,3570174,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/a21f2659-a7bc-40a7-b7d9-e9a10f5e2a72.jpg
SWC,Gbg2,ARMS_SWC_Gbg2_20200206_20200520,3568952,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/6b0dc993-107e-4cc5-9e48-74a504d3fbb9.jpg
Svalbard,S1,ARMS_Svalbard_S1_20190806_20200804,3566629,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d11124ec-3d5b-4d6b-a908-cda6119b968e.jpg
Crete,2UBPC,ARMS_Crete_2UBPC_20201120_20220901,6818825,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/277cb7bf-9c88-40c8-969c-573f8821137c.jpg
Koster,VH2,ARMS_Koster_VH2_20190527_20200716,3568857,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0d672435-b60d-4d06-9d73-e94b57f66341.jpg
