ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
Svalbard,S1,ARMS_Svalbard_S1_20190806_20200804,A_Template_manualObservationsSvalbard2020_S1_08.12.2020.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/A2/BC/A2BCCC24C05A6776AA1FC5BF362004E81927B6A4D72F8D79D5C2603038313104.xlsx
Koster,VH2,ARMS_Koster_VH2_20180418_20180906,Koster_VH2_2018.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/F2/28/F22863CCB02F5DF7198B0404CE5AAE7A7473CC061E0AC66627ED7D5813F70B41.xlsx
Svalbard,S2,ARMS_Svalbard_S2_20190805_20200801,A_Template_manualObservationsSvalbard2020_S2_08.12.2020.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/A0/2E/A02ED1210EDC28D3E36FB758DF302E94933E384F125A8C6F1027DC881590F649.xlsx
Galway,Gurr2,ARMS_Galway_Gurr2_20200721_20210707,ARMS_Galway_GURR2_200721_210707_Images.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/27/6E/276EA584313083FF167CD75CB346AB0385AC1A954B68D4BA1EFF3321593696F3.xlsx
TZS,Angbat,ARMS_TZS_Angbat_20180711_20181106,ManualObservations_Aangbaatsbryggan_180711-181106_uploadVersion_3.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/A7/19/A719B0FBA580CE4E1D3B7E452EE2D060BB84D1CE6D1F831FB360B52E122AF3B4.xlsx
BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ImageDescription_ARMS_BelgiumCoast_AJJBC89_20210225_20210819.csv,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/7A/3D/7A3D8E61B3158FDB79B66BD171F7D07CC9C7D6B54A30907EC39CF897DDAF98C9.csv
Laeso,Laeso1,ARMS_Laeso_Laeso1_20190819_20200811,Laesoe ARMS 2020.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/A5/9C/A59CE84BCCAD0018165979EB6212C774202758FEE74BC7718EB0F62BFEBDB467.xlsx
Getxo,G1,ARMS_Getxo_G1_20190624_20191016,Taxaidentified.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/AF/F8/AFF8CB69438A967B6C54BB29D715F342709E34B34B02D3088E5644298E1DAD09.xlsx
Getxo,G1,ARMS_Getxo_G1_20190624_20191016,Physicochemical data on collection.docx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/03/5D/035D89691FFB91E21DC44C5C961D1F99016CE7B80BC67978FC733742EA6B42D5.docx
SWC,Hjuvik1,ARMS_SWC_Hjuvik1_20200131_20200518,ARMS_SwedishWestCoast_Hjuvik1_200131_200518_Field_3.mp4,Video,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/CB/03/CB0386B78C0CC5E71EF9558FB081CBE42A59036511AA4F368F8C2EE8645ABDBC.mp4
