Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
BelgiumCoast,Belgium,BirkenfelsB,51.64816667,2.53583333,38.81,38.81,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3,0,0,37,2021-04-07,2022-10-21
BelgiumCoast,Belgium,CPowerB,51.57983300,2.99550000,26,26,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerB_20231023_20240718,9,0,0,18,2024-07-22,2024-08-22
BelgiumCoast,Belgium,CPowerB,51.57983300,2.99550000,26,26,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerB_20220622_20230905,6,0,0,18,2023-09-07,2024-07-31
BelgiumCoast,Belgium,CPowerB,51.57983300,2.99550000,26,26,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,7,0,0,19,2022-06-28,2024-10-03
BelgiumCoast,Belgium,CPowerA,51.57983300,2.99550000,26,26,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,7,0,0,19,2022-06-28,2024-07-31
BelgiumCoast,Belgium,CPowerA,51.57983300,2.99550000,26,26,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerA_20231023_20240718,9,0,0,18,2024-07-22,2024-08-22
BelgiumCoast,Belgium,CPowerA,51.57983300,2.99550000,26,26,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerA_20220622_20230905,5,0,0,18,2023-09-07,2023-11-20
BelgiumCoast,Belgium,CPowerC,51.57983300,2.99550000,26,26,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerC_20231023_20240718,10,0,0,18,2024-07-22,2024-08-22
BelgiumCoast,Belgium,CPowerC,51.57983300,2.99550000,26,26,2022-05-22,2023-09-05,ARMS_BelgiumCoast_CPowerC_20220522_20230905,5,0,0,18,2023-09-07,2024-07-31
BelgiumCoast,Belgium,CPowerC,51.57983300,2.99550000,26,26,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,7,0,0,19,2022-06-28,2024-10-03
BelgiumCoast,Belgium,CoastbustersA,51.11486388,2.57857672,9,9,2021-04-22,2021-10-08,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,3,0,0,19,2021-10-12,2022-10-21
