Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_Limfjord_Red2_20190618_20191029_SF40,ARMS_Limfjord_Red2_20190618_20191029,,2021-05-14,2024-06-06,0,56
ARMS_Limfjord_Yellow8_20190618_20191029_MF100,ARMS_Limfjord_Yellow8_20190618_20191029,,2021-04-30,2024-06-06,283,99
ARMS_Limfjord_Yellow8_20190618_20191029_MF500,ARMS_Limfjord_Yellow8_20190618_20191029,,2021-04-30,2024-06-06,285,99
ARMS_Limfjord_Yellow8_20190618_20191029_SF40,ARMS_Limfjord_Yellow8_20190618_20191029,,2021-04-30,2024-06-06,109,99
ARMS_Bodo_GStraB_20190621_20201207_MF500,ARMS_Bodo_GStraB_20190621_20201207,: Motile fraction/500 µm (MF500),2021-06-25,2024-06-06,0,21
ARMS_Bodo_GStraB_20190621_20201207_SF50_A,ARMS_Bodo_GStraB_20190621_20201207,Sessile fraction/50 µm (SF50); NOTE: 40 µm was not possible,2021-06-25,2024-06-06,0,21
ARMS_Bodo_GStraB_20190621_20201207_MF100,ARMS_Bodo_GStraB_20190621_20201207,Motile fraction/100 µm (MF100),2021-06-25,2024-06-06,0,21
ARMS_Bodo_GStraM_20190621_20201207_MF100,ARMS_Bodo_GStraM_20190621_20201207,,2021-06-25,2024-06-06,0,21
ARMS_Bodo_GStraM_20190621_20201207_SF50_A,ARMS_Bodo_GStraM_20190621_20201207,Sessile fraction/50 µm (SF50); NOTE: 40µm was not possible,2021-06-25,2024-06-06,0,21
ARMS_Bodo_GStraM_20190621_20201207_MF500,ARMS_Bodo_GStraM_20190621_20201207,Motile fraction/500 µm (MF500),2021-06-25,2024-06-06,0,21
ARMS_SWC_Gbg4_20200206_20200529_MF100,ARMS_SWC_Gbg4_20200206_20200529,,2021-04-30,2024-06-06,181,18
ARMS_SWC_Gbg4_20200206_20200529_MF500,ARMS_SWC_Gbg4_20200206_20200529,,2021-04-30,2024-06-06,53,18
